"pa","Xkm","Ykm","logrec","fyear","year","fmonth","dep","gra","tem.fal","sal.fal"
0,1901.80390366991,4921.68518487723,0,"2016",2016,"12",1.33661578818088,-1.86398488063524,0.59895561596668,1.19154623663778
1,1849.38850429475,4872.54848064297,5.50986828641262,"2016",2016,"11",-0.887450834892573,0.761368809268632,1.16570560947713,0.953184260588799
0,1826.89150295932,4876.0760808694,0,"2016",2016,"11",-0.515490453793107,0.842394599830737,1.21430011591572,-0.288617821140696
0,1847.48158583872,4885.57336142513,0,"2016",2016,"12",1.37252914557326,-0.656273876775715,0.443608088470482,1.07135213057886
1,1837.31806708769,4857.66750981254,5.87634716586982,"2016",2016,"11",-0.936190461251009,0.332556992769136,-0.683384004422157,-0.993104139880829
0,1852.57977254575,4858.4406996209,0,"2016",2016,"11",-0.333358119469116,0.970426646802699,1.23148546344276,-0.028728829541516
0,1871.71707833658,4851.99900318117,0,"2016",2016,"11",0.605521148163568,0.688590205594222,1.41120811818283,0.749011780495389
0,1850.19650100848,5064.28605424627,0,"2016",2016,"11",-0.869494107268232,-1.17374244593846,-0.0693507768957038,0.0309049020490966
0,1927.18243776428,4882.00380891553,0,"2016",2016,"12",2.07027563306326,-1.1720986003063,0.501373016339262,1.19991857682076
1,1872.12286684511,4836.23644788896,3.84105385857719,"2016",2016,"11",-0.602708740265281,0.12765598438454,-0.238414743971678,-0.368450595246641
0,1941.75457341695,4890.82962933224,0,"2016",2016,"12",1.98562230681542,-1.41390151390314,0.879777073044331,1.21501285859903
1,1882.95629320232,4811.43889162842,4.01985475401346,"2016",2016,"11",-1.061887432301,0.159911090947516,-0.872765582117907,-0.164046590758242
0,1895.19598171022,4815.13548606035,0,"2016",2016,"11",-0.543708098733995,0.74278100704854,0.388771219277024,0.0598029908887666
0,1933.24642092939,4824.854667,0,"2016",2016,"11",2.41914877895197,-0.512500058879293,0.0106108557640683,1.23612774709387
0,1879.95275514,4850.23473661265,0,"2016",2016,"12",1.07239567497114,0.952674580095912,0.92903257940708,0.971157733392309
1,1900.24389382818,4785.59693331058,3.34450384890553,"2016",2016,"11",-0.813058768458305,0.569459551521499,-0.171672616111288,0.0847872859319557
0,1918.22142872597,4815.81859339264,0,"2016",2016,"11",2.01897055719902,0.830747832438781,0.0954701361373543,1.11464587463099
1,1766.58192314692,4999.94105208583,7.38674588518395,"2016",2016,"11",-0.846406920985621,0.536796415436345,0.585036795689967,-1.42656333959768
1,1766.22169581407,5031.82894415422,7.29446113618605,"2016",2016,"11",-1.16706242193344,-0.428257908857963,-1.67374843289763,-1.64397153541277
0,1790.29460376526,5041.33595108352,0,"2016",2016,"11",-0.618100214096407,0.511182852865827,0.411280552731167,-0.410346377279855
